Group;Plate;Concentration;Compound;Condition;Row;Column;Counts;ConditionID;GroupID
0:None;564;1;C6O4;C6O4:1;;9;21;;
late M;564;1;C6O4;C6O4:1;;9;134;;
Large;564;1;C6O4;C6O4:1;;9;33;;
G0 + G1;564;0;Control;Control:0;;10;12061;;
S;564;0;Control;Control:0;;10;2946;;
G2 + early M;564;0;Control;Control:0;;10;1082;;
late M;564;0;Control;Control:0;;10;249;;
Small;564;0;Control;Control:0;;10;325;;
0:None;564;0;Control;Control:0;;10;20;;
Large;564;0;Control;Control:0;;10;45;;
G0 + G1;564;0;Control;Control:0;;11;8103;;
Small;564;0;Control;Control:0;;11;157;;
S;564;0;Control;Control:0;;11;956;;
G2 + early M;564;0;Control;Control:0;;11;316;;
late M;564;0;Control;Control:0;;11;186;;
0:None;564;0;Control;Control:0;;11;38;;
Large;564;0;Control;Control:0;;11;32;;
Small;564;0;Control;Control:0;;12;212;;
S;564;0;Control;Control:0;;12;1608;;
late M;564;0;Control;Control:0;;12;228;;
G0 + G1;564;0;Control;Control:0;;12;10879;;
G2 + early M;564;0;Control;Control:0;;12;436;;
0:None;564;0;Control;Control:0;;12;21;;
Large;564;0;Control;Control:0;;12;31;;
G0 + G1;564;10;C6O4;C6O4:10;;1;10275;;
S;564;10;C6O4;C6O4:10;;1;1816;;
late M;564;10;C6O4;C6O4:10;;1;196;;
Small;564;10;C6O4;C6O4:10;;1;243;;
0:None;564;10;C6O4;C6O4:10;;1;15;;
G2 + early M;564;10;C6O4;C6O4:10;;1;500;;
Large;564;10;C6O4;C6O4:10;;1;55;;
G0 + G1;564;10;C6O4;C6O4:10;;2;6647;;
S;564;10;C6O4;C6O4:10;;2;2447;;
late M;564;10;C6O4;C6O4:10;;2;289;;
G2 + early M;564;10;C6O4;C6O4:10;;2;1279;;
Small;564;10;C6O4;C6O4:10;;2;406;;
0:None;564;10;C6O4;C6O4:10;;2;16;;
Large;564;10;C6O4;C6O4:10;;2;119;;
S;564;10;C6O4;C6O4:10;;3;2082;;
G2 + early M;564;10;C6O4;C6O4:10;;3;669;;
G0 + G1;564;10;C6O4;C6O4:10;;3;8662;;
Small;564;10;C6O4;C6O4:10;;3;291;;
late M;564;10;C6O4;C6O4:10;;3;181;;
Large;564;10;C6O4;C6O4:10;;3;84;;
0:None;564;10;C6O4;C6O4:10;;3;17;;
G0 + G1;564;100;C6O4;C6O4:100;;4;11590;;
S;564;100;C6O4;C6O4:100;;4;1723;;
Small;564;100;C6O4;C6O4:100;;4;238;;
G2 + early M;564;100;C6O4;C6O4:100;;4;475;;
late M;564;100;C6O4;C6O4:100;;4;203;;
0:None;564;100;C6O4;C6O4:100;;4;8;;
Large;564;100;C6O4;C6O4:100;;4;66;;
S;564;100;C6O4;C6O4:100;;5;2915;;
G0 + G1;564;100;C6O4;C6O4:100;;5;10152;;
Small;564;100;C6O4;C6O4:100;;5;436;;
late M;564;100;C6O4;C6O4:100;;5;222;;
G2 + early M;564;100;C6O4;C6O4:100;;5;1196;;
Large;564;100;C6O4;C6O4:100;;5;96;;
0:None;564;100;C6O4;C6O4:100;;5;17;;
G0 + G1;564;100;C6O4;C6O4:100;;6;7934;;
S;564;100;C6O4;C6O4:100;;6;1359;;
0:None;564;100;C6O4;C6O4:100;;6;9;;
late M;564;100;C6O4;C6O4:100;;6;169;;
G2 + early M;564;100;C6O4;C6O4:100;;6;341;;
Small;564;100;C6O4;C6O4:100;;6;150;;
Large;564;100;C6O4;C6O4:100;;6;43;;
G0 + G1;564;0;Control;Control:0;;7;5409;;
S;564;0;Control;Control:0;;7;1201;;
0:None;564;0;Control;Control:0;;7;25;;
G2 + early M;564;0;Control;Control:0;;7;545;;
late M;564;0;Control;Control:0;;7;141;;
Small;564;0;Control;Control:0;;7;189;;
Large;564;0;Control;Control:0;;7;41;;
G0 + G1;564;0;Control;Control:0;;8;6313;;
Small;564;0;Control;Control:0;;8;92;;
late M;564;0;Control;Control:0;;8;118;;
S;564;0;Control;Control:0;;8;729;;
G2 + early M;564;0;Control;Control:0;;8;254;;
0:None;564;0;Control;Control:0;;8;23;;
Large;564;0;Control;Control:0;;8;18;;
G0 + G1;564;0;Control;Control:0;;9;9407;;
S;564;0;Control;Control:0;;9;1427;;
0:None;564;0;Control;Control:0;;9;19;;
late M;564;0;Control;Control:0;;9;160;;
Small;564;0;Control;Control:0;;9;168;;
G2 + early M;564;0;Control;Control:0;;9;418;;
Large;564;0;Control;Control:0;;9;69;;
G0 + G1;564;0;Control;Control:0;;10;6140;;
S;564;0;Control;Control:0;;10;3179;;
Small;564;0;Control;Control:0;;10;445;;
G2 + early M;564;0;Control;Control:0;;10;2419;;
0:None;564;0;Control;Control:0;;10;43;;
late M;564;0;Control;Control:0;;10;339;;
Large;564;0;Control;Control:0;;10;94;;
G0 + G1;564;0;Control;Control:0;;11;11798;;
G2 + early M;564;0;Control;Control:0;;11;696;;
late M;564;0;Control;Control:0;;11;263;;
S;564;0;Control;Control:0;;11;1783;;
Small;564;0;Control;Control:0;;11;246;;
0:None;564;0;Control;Control:0;;11;17;;
Large;564;0;Control;Control:0;;11;60;;
G0 + G1;564;0;Control;Control:0;;12;10433;;
G2 + early M;564;0;Control;Control:0;;12;514;;
S;564;0;Control;Control:0;;12;1176;;
Small;564;0;Control;Control:0;;12;192;;
late M;564;0;Control;Control:0;;12;168;;
Large;564;0;Control;Control:0;;12;24;;
0:None;564;0;Control;Control:0;;12;19;;
